profile,n,rho,d,seed,l1_tail_error,max_tail_error,jobs_per_server_error
paper,200,0.5,2,1732,0.0027203162208695474,0.0018341666666666367,0.0027203152895470817
paper,200,0.5,2,1733,0.003152816220869659,0.0014658333333333884,0.0031528152895471395
paper,200,0.5,2,1734,0.0008461495542028917,0.0006208333333332927,0.0006994819562137211
paper,200,0.5,2,1735,0.0017146847104529826,0.00099333333333336,0.001714684710452996
paper,200,0.5,2,1736,0.004659482887536228,0.002806666666666624,0.004659481956213685
paper,200,0.5,2,1737,0.0016628162208695827,0.0006841666666666524,0.0016628152895471482
paper,200,0.5,2,1738,0.000380316220869595,0.00023083333333334677,8.135137711950957e-05
paper,200,0.7,1,1729,0.030144999998069234,0.004090833333333294,0.030144999998069633
paper,200,0.7,1,1730,0.00700499999806969,0.0007706666666666279,0.0028299999980698765
paper,200,0.7,1,1731,0.009534038188003479,0.0014400000000000523,0.005985833335263813
paper,200,0.7,1,1732,0.017429611020929596,0.0015154538676666572,0.0150183333314029
paper,200,0.7,1,1733,0.030593332020580056,0.0038041666666667195,0.030249166668597116
paper,200,0.7,1,1734,0.009937414289479717,0.0014541666666667563,0.0006375000019298582
paper,200,0.7,1,1735,0.014890979400007262,0.002207499999999918,0.008412499998069478
paper,200,0.7,1,1736,0.0550685169194267,0.0060591666666667265,0.054991666668597006
paper,200,0.7,1,1737,0.009680499866146417,0.0007936069999999809,0.008496666664736363
paper,200,0.7,1,1738,0.014562883054287011,0.002200833333333263,0.012594166664736672
paper,200,0.7,2,1729,0.0037481944594382594,0.0018083333333332452,0.00344847255573133
paper,200,0.7,2,1730,0.004713082869178885,0.0017283333333334427,0.004701527444268994
paper,200,0.7,2,1731,0.00507319445943852,0.002249866666666697,0.0050731941109352086
paper,200,0.7,2,1732,0.004232361126105168,0.001544033333333375,0.004232360777602251
paper,200,0.7,2,1733,0.0057365277927718195,0.0018008333333333626,0.005736527444268669
paper,200,0.7,2,1734,0.002226527792771632,0.0008758333333332424,0.00047486077760194867
paper,200,0.7,2,1735,0.004065694459438221,0.001724999999999921,0.002137639222397958
paper,200,0.7,2,1736,0.012501527792771827,0.005220000000000058,0.0125015274442688
paper,200,0.7,2,1737,0.001262361126104985,0.0005382718233903384,0.0005556941109357005
paper,200,0.7,2,1738,0.00281819445943826,0.0011008333333332732,0.0007184725557314309
paper,200,0.9,1,1729,0.4374944711464339,0.02276786981433343,0.4313016666583511
paper,200,0.9,1,1730,0.10805328851362134,0.0028260725500465875,0.07138250000831547
paper,200,0.9,1,1731,0.14918176567428282,0.003578827722297291,0.14186333334164836
paper,200,0.9,1,1732,0.3271145049288009,0.009981903909999923,0.30203333334164917
paper,200,0.9,1,1733,0.22815593234094975,0.010007130185666568,0.21903083334164997
paper,200,0.9,1,1734,0.12641349399535856,0.004111376666666777,0.034586666674981004
paper,200,0.9,1,1735,0.12199328733534386,0.006065344333333222,0.09456500000831447
paper,200,0.9,1,1736,0.345399816319404,0.006002514441066559,0.3451341666749812
paper,200,0.9,1,1737,0.08482280364292068,0.0031381830033342384,0.03291083334164924
paper,200,0.9,1,1738,0.12589356728809578,0.004287909781638816,0.0710758333416468
paper,200,0.9,2,1729,0.020104424602104355,0.006931066666666763,0.01720663959148805
paper,200,0.9,2,1730,0.016442527079472382,0.005212124218972061,0.01644252707517868
paper,200,0.9,2,1731,0.03253419374613916,0.011373867905350943,0.032534193741845296
paper,200,0.9,2,1732,0.03077586041280578,0.009966367905350937,0.030775860408512212
paper,200,0.9,2,1733,0.02905002707947249,0.00852636790535094,0.029050027075178342
paper,200,0.9,2,1734,0.01342799374613947,0.00421500000000008,0.006010806258154755
paper,200,0.9,2,1735,0.03617419374613914,0.012908034572017585,0.036174193741845606
paper,200,0.9,2,1736,0.04293586041280579,0.013917201238684257,0.04293586040851194
paper,200,0.9,2,1737,0.015115860412805836,0.005708790885638727,0.015115860408511761
paper,200,0.9,2,1738,0.011090493746139591,0.0037577333333334018,0.0043816395914881845
paper,400,0.5,1,1729,0.0027618749990905187,0.0007125000000000048,0.002627499999090621
paper,400,0.5,1,1730,0.002443574014389992,0.0005445833333333205,0.00029166666757607373
paper,400,0.5,1,1731,0.0041486743154968185,0.000944583333333332,0.00410500000090952
paper,400,0.5,1,1732,0.005553697915757195,0.0012741666666666873,0.00545958333424279
paper,400,0.5,1,1733,0.004630253701889972,0.0011354166666666665,0.0025987500009094777
paper,400,0.5,1,1734,0.006986249999090517,0.0017695833333333244,0.006986249999090477
paper,400,0.5,1,1735,0.005984140624090475,0.0012787499999999952,0.005915000000909387
paper,400,0.5,1,1736,0.005381979165757184,0.0008933333333333293,0.00523541666757632
paper,400,0.5,1,1737,0.0021221689787352892,0.0003158333333333485,0.0012229166657572454
paper,400,0.5,1,1738,0.0028276009105488217,0.0005808333333333082,0.0012812500009096173
paper,400,0.5,2,1729,0.001962399554203001,0.0011129166666666857,0.0018401013771196517
paper,400,0.5,2,1730,0.000588018043786302,0.00028083333333335514,2.1981956213723564e-05
paper,400,0.5,2,1731,0.0012944828875362244,0.0005804166666666388,0.0012944819562137333
paper,400,0.5,2,1732,0.0013609347104529255,0.0007187499999999902,0.0013582319562136513
paper,400,0.5,2,1733,0.0016353162208695838,0.0009033333333333116,0.001635315289547079
paper,400,0.5,2,1734,0.0023523995542029503,0.0013770833333333066,0.002319268043786238
paper,400,0.5,2,1735,0.0003469828875362925,0.0002674999999999761,0.00019698195621364878
paper,400,0.5,2,1736,0.0019028162208695745,0.0009054166666666585,0.0019028152895470551
paper,400,0.5,2,1737,0.0006080180437863207,0.00033166666666667455,0.0006080180437862959
paper,400,0.5,2,1738,0.0016644828875362883,0.0008075000000000304,0.0015013513771197085
paper,400,0.7,1,1729,0.020554139636533703,0.00226749999999995,0.017685833331403167
paper,400,0.7,1,1730,0.013724999998069714,0.0014483333333333848,0.006766666664736132
paper,400,0.7,1,1731,0.0031788166647365003,0.0003054166666667246,0.001180416664736228
paper,400,0.7,1,1732,0.016797261537042554,0.0015866666666667084,0.016780416668596754
paper,400,0.7,1,1733,0.012952748004736801,0.0020716666666667216,0.010067500001930352
paper,400,0.7,1,1734,0.015891666664735953,0.0016337499999999616,0.01589166666473618
paper,400,0.7,1,1735,0.004216675840525011,0.0005923569999999809,0.00263999999806952
paper,400,0.7,1,1736,0.0065814641713202665,0.0009129166666667077,0.0008174999980696818
paper,400,0.7,1,1737,0.019993638245576862,0.0023833333333332374,0.01998749999806959
paper,400,0.7,1,1738,0.019401661408683487,0.0024579166666666152,0.008194166664736713
paper,400,0.7,2,1729,0.003349599535845131,0.0016558333333332453,0.0033180558890648637
paper,400,0.7,2,1730,0.004557361126105199,0.0018033333333334345,0.004557360777601938
paper,400,0.7,2,1731,0.002103611126105177,0.000994866666666705,0.0021036107776020163
paper,400,0.7,2,1732,0.003082361126105176,0.0011920833333334269,0.0030823607776020445
paper,400,0.7,2,1733,0.003755277792771908,0.0019448666666666975,0.0037552774442688452
paper,400,0.7,2,1734,0.0007097495358453438,0.00026874999999992877,0.000169860777602171
paper,400,0.7,2,1735,0.0015561111261050027,0.000503200000000037,0.0003352774442686446
paper,400,0.7,2,1736,0.001819027792771773,0.0011586166666667091,0.0017906941109351315
paper,400,0.7,2,1737,0.0031013892223978657,0.0012787499999999397,0.003101389222397888
paper,400,0.7,2,1738,0.006182932869178427,0.0029762499999999026,0.006008055889064723
paper,400,0.9,1,1729,0.2895137499916843,0.0077759401000001005,0.289513749991686
paper,400,0.9,1,1730,0.16770472764701408,0.006033023433333451,0.01726750000831423
paper,400,0.9,1,1731,0.07189305002862437,0.002430768885184148,0.052745416658352084
paper,400,0.9,1,1732,0.3121518802859304,0.009518570576666607,0.3110208333416491
paper,400,0.9,1,1733,0.19200313884096448,0.0058509171670999005,0.18438750000831483
paper,400,0.9,1,1734,0.18435018607560108,0.005275051963665844,0.18148916665835024
paper,400,0.9,1,1735,0.1835430369002398,0.00399309420182091,0.18208875000831348
paper,400,0.9,1,1736,0.055809757540160855,0.001995741608549567,0.01072041665835144
paper,400,0.9,1,1737,0.2033699999916842,0.008917155666666732,0.20336999999168448
paper,400,0.9,1,1738,0.2024916184938862,0.006662190100000076,0.19237458332501767
paper,400,0.9,2,1729,0.012994007935437694,0.004611066666666774,0.012287056258154738
paper,400,0.9,2,1730,0.005833360412806069,0.002487957552305395,0.004780027075178772
paper,400,0.9,2,1731,0.006827527079472637,0.0027404575523053906,0.005975027075178829
paper,400,0.9,2,1732,0.018750860412805773,0.005635117905350928,0.01875086040851226
paper,400,0.9,2,1733,0.004245674602104402,0.001597316666666737,0.001312889591488453
paper,400,0.9,2,1734,0.010219610412805837,0.0035805345720175963,0.010219610408511937
paper,400,0.9,2,1735,0.012538777079472482,0.005258451238684264,0.012538777075178587
paper,400,0.9,2,1736,0.00618299374613944,0.0025579575523053955,0.003230027075178832
paper,400,0.9,2,1737,0.01638150793543765,0.005784816666666748,0.015597889591488112
paper,400,0.9,2,1738,0.017356009497493538,0.006345233333333422,0.01685330625815462
