experiment,scenario,controller,n,delay_bins,service_model,metric,mean,median,ci95_low,ci95_high,seeds,total_seeds
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,2,empirical,p95_response,50095.477747085955,47879.11722563281,46079.41016743854,54358.55859705562,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,2,empirical,mean_resource_fraction,0.1195486111111111,0.1195486111111111,0.1195486111111111,0.1195486111111111,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,2,empirical,slo_violation_fraction,0.44805253678568063,0.4405398800827933,0.43441650309324353,0.4625965395646727,10,10
delay_sensitivity,bursty,gp_ucb_mf_mpc,100,2,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,0,empirical,mean_wait,9995.030915049818,8995.437892359063,8302.726072111605,11905.51275219392,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,0,empirical,p95_wait,42066.46384851203,41397.827994202686,37571.65092685185,47121.20042604416,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,0,empirical,p99_wait,55433.90460929044,52546.647120687994,50733.665680209626,61623.54270951533,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,0,empirical,mean_response,10042.2357889348,9042.39817289832,8349.304420828843,11953.627018378796,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,0,empirical,p95_response,42138.880011481626,41454.485905412905,37667.12276439266,47172.43619675176,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,0,empirical,mean_resource_fraction,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,0,empirical,slo_violation_fraction,0.4825773762851835,0.46865588800961944,0.45163318710646266,0.5132026853976597,10,10
delay_sensitivity,bursty,oracle_mf_mpc,100,0,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
