profile,config_id,experiment,scenario,controller,seed,n,delay_bins,service_model,jobs,metric_status,metric_reason,mean_wait,mean_response,p95_wait,p99_wait,p95_response,mean_resource_fraction,server_time_resource_cost,scaling_actions,mean_absolute_target_change,overload_fraction,slo_violation_fraction
paper,paper,primary,high_volume,oracle_mf_mpc,1736,100,1,empirical,720000,ok,,515.4081083339776,518.962870655693,3451.120023166609,7130.2047638956565,3457.8100405138484,0.2814930555555556,2432100.0,98,6.02787456445993,0.1805555555555555,0.3923986111111111
paper,paper,primary,high_volume,static,1737,100,1,empirical,720000,ok,,138.5978573762967,142.2260290751484,646.813883316344,2676.066902674296,659.7120699248076,1.0,8640000.0,0,0.0,0.1215277777777777,0.2446375
paper,paper,primary,high_volume,reactive,1737,100,1,empirical,720000,ok,,15421.146712075895,15424.774883774748,58780.17824537408,76732.87611393208,58781.24248518232,0.2733680555555555,2361900.0,77,4.808362369337979,0.1736111111111111,0.8067402777777778
paper,paper,primary,high_volume,seasonal_mf_mpc,1737,100,1,empirical,720000,ok,,138067.4119845017,138071.04015620053,313913.9284691742,328800.7793612233,313914.9803552653,0.2924305555555556,2526600.0,93,5.630662020905923,0.2430555555555555,0.7403444444444445
paper,paper,primary,high_volume,ewma_mf_mpc,1737,100,1,empirical,720000,ok,,5660.68198747511,5664.310159173961,23940.660655518983,30056.316809979624,23942.14548263088,0.2735416666666667,2363400.0,105,4.118466898954704,0.1736111111111111,0.7787944444444445
paper,paper,primary,high_volume,gp_mean_mf_mpc,1737,100,1,empirical,720000,ok,,6719.8420841899015,6723.470255888754,29378.979893093303,43148.993126213936,29382.98951825891,0.3834722222222222,3313200.0,103,1.9372822299651569,0.2361111111111111,0.5799277777777778
paper,paper,primary,high_volume,gp_ucb_mf_mpc,1737,100,1,empirical,720000,ok,,337.8614024824231,341.4895741812748,1895.7124181707995,6110.546584524071,1912.617305531438,0.7580208333333333,6549300.0,108,3.4111498257839723,0.1458333333333333,0.2790541666666666
paper,paper,primary,high_volume,oracle_mf_mpc,1737,100,1,empirical,720000,ok,,431.48239682664,435.11056852549166,2039.6838750457944,7836.285960302325,2047.0344022532493,0.2814930555555556,2432100.0,98,6.02787456445993,0.1805555555555555,0.3756097222222222
paper,paper,primary,high_volume,static,1738,100,1,empirical,720000,ok,,143.18734595810557,146.70851711579598,686.123223672034,2815.4772445625003,698.8784681188247,1.0,8640000.0,0,0.0,0.1215277777777777,0.2457069444444444
paper,paper,primary,high_volume,reactive,1738,100,1,empirical,720000,ok,,8422.058450545535,8425.579621703228,27489.29770057904,37625.509642853125,27491.05261332321,0.2733680555555555,2361900.0,77,4.808362369337979,0.1736111111111111,0.8490638888888888
