scenario,controller,alpha,validation_resource_fraction,reference_budget,selection_source
high_volume,gp_mean_mf_mpc,0.08058421877614817,0.5164347826086957,0.5220372670807454,validation_alpha_refinement
high_volume,gp_ucb_mf_mpc,0.001,0.9977639751552795,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,0.004216965034285823,0.9977639751552795,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,0.01,0.9977639751552795,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,0.01778279410038923,0.9977639751552795,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,0.03,0.992968944099379,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,0.07498942093324558,0.982335403726708,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,0.1,0.9792298136645963,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,0.3,0.9657639751552795,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,0.31622776601683794,0.9650931677018633,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,1.0,0.9453540372670807,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,1.333521432163324,0.9391801242236025,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,3.0,0.9230434782608695,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,5.623413251903491,0.9127329192546584,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,23.71373705661655,0.8987453416149068,0.5220372670807454,validation_alpha_search
high_volume,gp_ucb_mf_mpc,100.0,0.8936397515527951,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,0.001,0.9968447204968944,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,0.004216965034285823,0.9968447204968944,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,0.01,0.9968447204968944,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,0.01778279410038923,0.7296645962732918,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,0.03,0.650248447204969,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,0.07498942093324558,0.6160248447204969,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,0.1,0.6049068322981366,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,0.3,0.5847577639751553,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,0.31622776601683794,0.5842608695652174,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,1.0,0.5643105590062112,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,1.333521432163324,0.5614534161490683,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,3.0,0.5537515527950311,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,5.623413251903491,0.5479627329192547,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,23.71373705661655,0.538608695652174,0.5220372670807454,validation_alpha_search
high_volume,oracle_mf_mpc,100.0,0.5368198757763976,0.5220372670807454,validation_alpha_search
